file,dict_name,clip_count,anim_count,bone_refs,first_10_clips,first_10_anims
script_mp@introflow@teamonfoot@lassos.ycd.xml,script_mp@introflow@teamonfoot@lassos,125,24,,pack:/female_13_lassos_enter_f_player_face.clip; pack:/male_0_lassos_enter_bundle.clip; pack:/female_3_lassos_enter_bundle.clip; pack:/female_14_lassos_enter_f_player_face.clip; pack:/female_9_lassos_enter_noose.clip; pack:/female_6_lassos_enter_f_player.clip; pack:/female_5_lassos_enter_bundle.clip; pack:/female_12_lassos_enter_bundle.clip; pack:/male_6_lassos_enter_m_player_face.clip; pack:/female_5_lassos_enter_noose.clip,prop_q5@tr3@0_3; cinematic_q5@female@0_1; cinematic_q5@female@0_0; cinematic_q5@biped@0_5; cinematic_q5@biped@0_2; cinematic_q5@female@0_7; prop_q5@tr3@0_1; cinematic_q5@biped@0_1; cinematic_q5@female@0_4; cinematic_q5@female@0_6
script_mp@introflow@teamonhorse@lassos.ycd.xml,script_mp@introflow@teamonhorse@lassos,102,37,,pack:/intro_team_horse_lassos_female5.clip; pack:/intro_team_horse_lassos_female1.clip; pack:/intro_team_horse_lassos_lassoloop2.clip; pack:/intro_team_horse_lassos_male12.clip; pack:/intro_team_horse_lassos_female4.clip; pack:/intro_team_horse_lassos_male6.clip; pack:/intro_team_horse_lassos_female2.clip; pack:/intro_team_horse_lassos_lasso11.clip; pack:/intro_team_horse_lassos_female10.clip; pack:/intro_team_horse_lassos_male4_face.clip,cinematic_q5@biped@0_13; cinematic_q5@female@0_1; cinematic_q5@female@0_4; cinematic_q5@tr3@0_3; cinematic_q5@biped@0_4; cinematic_q5@biped@0_10; cinematic_q5@female@0_5; cinematic_q5@biped@0_9; cinematic_q5@biped@0_15; cinematic_q5@tr3@0_7
veh_horseback@aim@front@special@lasso@base@loco.ycd.xml,veh_horseback@aim@front@special@lasso@base@loco,3,4,,pack:/idle.clip; pack:/cnt_idle.clip; pack:/wlk_idle.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_3; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@pull@loosen.ycd.xml,veh_horseback@aim@front@special@lasso@base@pull@loosen,5,3,,pack:/stn_aim_0.clip; pack:/stn_aim_225l.clip; pack:/stn_aim_90r.clip; pack:/stn_aim_90l.clip; pack:/stn_aim_225r.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@pull@tighten_rope.ycd.xml,veh_horseback@aim@front@special@lasso@base@pull@tighten_rope,5,3,,pack:/stn_release_0.clip; pack:/stn_release_225r.clip; pack:/stn_release_90l.clip; pack:/stn_release_225l.clip; pack:/stn_release_90r.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@pull@yank.ycd.xml,veh_horseback@aim@front@special@lasso@base@pull@yank,5,3,,pack:/stn_aim_225l.clip; pack:/stn_aim_90r.clip; pack:/stn_aim_90l.clip; pack:/stn_aim_225r.clip; pack:/stn_aim_0.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@pull_off.ycd.xml,veh_horseback@aim@front@special@lasso@base@pull_off,5,3,,pack:/stn_aim_0.clip; pack:/stn_aim_225l.clip; pack:/stn_aim_90r.clip; pack:/stn_aim_90l.clip; pack:/stn_aim_225r.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@ready.ycd.xml,veh_horseback@aim@front@special@lasso@base@ready,20,10,,pack:/stn_aim_0.clip; pack:/stn_release_225r.clip; pack:/stn_release_90r.clip; pack:/stn_release_0.clip; pack:/stn_aim_90l.clip; pack:/intro_225l.clip; pack:/intro_0.clip; pack:/intro_225r.clip; pack:/outro_90l.clip; pack:/stn_release_90l.clip,biped_q5@biped@0_4; biped_q5@biped@0_1; biped_q5@biped@0_7; biped_q5@biped@0_5; biped_q5@biped@0_6; biped_q5@biped@0_2; biped_q5@biped@0_3; biped_q5@biped@0_9; biped_q5@biped@0_8; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@reelin.ycd.xml,veh_horseback@aim@front@special@lasso@base@reelin,5,3,,pack:/stn_aim_0.clip; pack:/stn_aim_225l.clip; pack:/stn_aim_90r.clip; pack:/stn_aim_90l.clip; pack:/stn_aim_225r.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@reelin_drag.ycd.xml,veh_horseback@aim@front@special@lasso@base@reelin_drag,5,3,,pack:/stn_aim_225r.clip; pack:/stn_aim_0.clip; pack:/stn_aim_225l.clip; pack:/stn_aim_90r.clip; pack:/stn_aim_90l.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@reelin_empty.ycd.xml,veh_horseback@aim@front@special@lasso@base@reelin_empty,5,3,,pack:/stn_aim_225r.clip; pack:/stn_aim_0.clip; pack:/stn_aim_225l.clip; pack:/stn_aim_90r.clip; pack:/stn_aim_90l.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@reelin_empty_quick.ycd.xml,veh_horseback@aim@front@special@lasso@base@reelin_empty_quick,5,3,,pack:/stn_aim_225r.clip; pack:/stn_aim_0.clip; pack:/stn_aim_225l.clip; pack:/stn_aim_90r.clip; pack:/stn_aim_90l.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@reelin_heavy.ycd.xml,veh_horseback@aim@front@special@lasso@base@reelin_heavy,5,4,,pack:/stn_aim_225r.clip; pack:/stn_aim_0.clip; pack:/stn_aim_225l.clip; pack:/stn_aim_90r.clip; pack:/stn_aim_90l.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_3; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@reelin_lead.ycd.xml,veh_horseback@aim@front@special@lasso@base@reelin_lead,5,3,,pack:/stn_aim_225r.clip; pack:/stn_aim_0.clip; pack:/stn_aim_225l.clip; pack:/stn_aim_90r.clip; pack:/stn_aim_90l.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@reelin_pull.ycd.xml,veh_horseback@aim@front@special@lasso@base@reelin_pull,5,3,,pack:/stn_aim_225r.clip; pack:/stn_aim_0.clip; pack:/stn_aim_225l.clip; pack:/stn_aim_90r.clip; pack:/stn_aim_90l.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@release_wait.ycd.xml,veh_horseback@aim@front@special@lasso@base@release_wait,5,4,,pack:/stn_aim_225r.clip; pack:/stn_aim_0.clip; pack:/stn_aim_225l.clip; pack:/stn_aim_90r.clip; pack:/stn_aim_90l.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_3; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@swing.ycd.xml,veh_horseback@aim@front@special@lasso@base@swing,10,3,,pack:/stn_release_90r.clip; pack:/stn_release_0.clip; pack:/stn_aim_225r.clip; pack:/stn_aim_0.clip; pack:/stn_release_225r.clip; pack:/stn_aim_225l.clip; pack:/stn_aim_90r.clip; pack:/stn_aim_90l.clip; pack:/stn_release_90l.clip; pack:/stn_release_225l.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@transitions@ready_rear_turn.ycd.xml,veh_horseback@aim@front@special@lasso@base@transitions@ready_rear_turn,6,3,,pack:/stn_transition_225r_to_90l.clip; pack:/stn_transition_225l_to_90r.clip; pack:/stn_transition_225r_to_0.clip; pack:/stn_transition_225r_to_225l.clip; pack:/stn_transition_225l_to_225r.clip; pack:/stn_transition_225l_to_0.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@transitions@ready_to_swing.ycd.xml,veh_horseback@aim@front@special@lasso@base@transitions@ready_to_swing,5,3,,pack:/stn_transition_90l.clip; pack:/stn_transition_225r.clip; pack:/stn_transition_225l.clip; pack:/stn_transition_0.clip; pack:/stn_transition_90r.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@transitions@reelin_drag_rear_turn.ycd.xml,veh_horseback@aim@front@special@lasso@base@transitions@reelin_drag_rear_turn,6,3,,pack:/stn_transition_225l_to_90r.clip; pack:/stn_transition_225r_to_0.clip; pack:/stn_transition_225r_to_225l.clip; pack:/stn_transition_225l_to_225r.clip; pack:/stn_transition_225l_to_0.clip; pack:/stn_transition_225r_to_90l.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@transitions@reelin_drag_to_reelin_heavy.ycd.xml,veh_horseback@aim@front@special@lasso@base@transitions@reelin_drag_to_reelin_heavy,5,3,,pack:/stn_transition_0.clip; pack:/stn_transition_90r.clip; pack:/stn_transition_90l.clip; pack:/stn_transition_225r.clip; pack:/stn_transition_225l.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@transitions@reelin_drag_to_reelin_lead.ycd.xml,veh_horseback@aim@front@special@lasso@base@transitions@reelin_drag_to_reelin_lead,5,3,,pack:/stn_transition_90l.clip; pack:/stn_transition_225r.clip; pack:/stn_transition_225l.clip; pack:/stn_transition_0.clip; pack:/stn_transition_90r.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@transitions@reelin_heavy_rear_turn.ycd.xml,veh_horseback@aim@front@special@lasso@base@transitions@reelin_heavy_rear_turn,6,3,,pack:/stn_transition_225l_to_0.clip; pack:/stn_transition_225r_to_90l.clip; pack:/stn_transition_225l_to_90r.clip; pack:/stn_transition_225r_to_0.clip; pack:/stn_transition_225r_to_225l.clip; pack:/stn_transition_225l_to_225r.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@transitions@reelin_heavy_to_reelin.ycd.xml,veh_horseback@aim@front@special@lasso@base@transitions@reelin_heavy_to_reelin,5,3,,pack:/stn_transition_90r.clip; pack:/stn_transition_90l.clip; pack:/stn_transition_225r.clip; pack:/stn_transition_225l.clip; pack:/stn_transition_0.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@transitions@reelin_heavy_to_reelin_drag.ycd.xml,veh_horseback@aim@front@special@lasso@base@transitions@reelin_heavy_to_reelin_drag,5,3,,pack:/stn_transition_0.clip; pack:/stn_transition_90r.clip; pack:/stn_transition_90l.clip; pack:/stn_transition_225r.clip; pack:/stn_transition_225l.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@transitions@reelin_lead_rear_turn.ycd.xml,veh_horseback@aim@front@special@lasso@base@transitions@reelin_lead_rear_turn,6,3,,pack:/stn_transition_225l_to_0.clip; pack:/stn_transition_225r_to_90l.clip; pack:/stn_transition_225l_to_90r.clip; pack:/stn_transition_225r_to_0.clip; pack:/stn_transition_225r_to_225l.clip; pack:/stn_transition_225l_to_225r.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@transitions@reelin_lead_to_reelin.ycd.xml,veh_horseback@aim@front@special@lasso@base@transitions@reelin_lead_to_reelin,5,3,,pack:/stn_transition_90l.clip; pack:/stn_transition_225r.clip; pack:/stn_transition_225l.clip; pack:/stn_transition_0.clip; pack:/stn_transition_90r.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@transitions@reelin_lead_to_reelin_drag.ycd.xml,veh_horseback@aim@front@special@lasso@base@transitions@reelin_lead_to_reelin_drag,5,3,,pack:/stn_transition_90l.clip; pack:/stn_transition_225r.clip; pack:/stn_transition_225l.clip; pack:/stn_transition_0.clip; pack:/stn_transition_90r.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@transitions@reelin_rear_turn.ycd.xml,veh_horseback@aim@front@special@lasso@base@transitions@reelin_rear_turn,6,3,,pack:/stn_transition_225l_to_0.clip; pack:/stn_transition_225r_to_90l.clip; pack:/stn_transition_225l_to_90r.clip; pack:/stn_transition_225r_to_0.clip; pack:/stn_transition_225r_to_225l.clip; pack:/stn_transition_225l_to_225r.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@transitions@reelin_to_reelin_heavy.ycd.xml,veh_horseback@aim@front@special@lasso@base@transitions@reelin_to_reelin_heavy,5,3,,pack:/stn_transition_0.clip; pack:/stn_transition_90r.clip; pack:/stn_transition_90l.clip; pack:/stn_transition_225r.clip; pack:/stn_transition_225l.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@transitions@reelin_to_reelin_lead.ycd.xml,veh_horseback@aim@front@special@lasso@base@transitions@reelin_to_reelin_lead,5,3,,pack:/stn_transition_0.clip; pack:/stn_transition_90r.clip; pack:/stn_transition_90l.clip; pack:/stn_transition_225r.clip; pack:/stn_transition_225l.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@transitions@release_wait_rear_turn.ycd.xml,veh_horseback@aim@front@special@lasso@base@transitions@release_wait_rear_turn,6,3,,pack:/stn_transition_225r_to_90l.clip; pack:/stn_transition_225l_to_90r.clip; pack:/stn_transition_225r_to_0.clip; pack:/stn_transition_225r_to_225l.clip; pack:/stn_transition_225l_to_225r.clip; pack:/stn_transition_225l_to_0.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@transitions@swing_rear_turn.ycd.xml,veh_horseback@aim@front@special@lasso@base@transitions@swing_rear_turn,6,3,,pack:/stn_transition_225l_to_90r.clip; pack:/stn_transition_225r_to_0.clip; pack:/stn_transition_225r_to_225l.clip; pack:/stn_transition_225l_to_225r.clip; pack:/stn_transition_225l_to_0.clip; pack:/stn_transition_225r_to_90l.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
veh_horseback@aim@front@special@lasso@base@transitions@swing_to_ready.ycd.xml,veh_horseback@aim@front@special@lasso@base@transitions@swing_to_ready,5,3,,pack:/stn_transition_90r.clip; pack:/stn_transition_90l.clip; pack:/stn_transition_225r.clip; pack:/stn_transition_225l.clip; pack:/stn_transition_0.clip,biped_q5@biped@0_1; biped_q5@biped@0_2; biped_q5@biped@0_0
